Kode,Matkul
IKS32753,Administrasi Sistem
IKO41154,Aljabar Linier Numerik
IKO32104,Analisis Numerik
IKO41153,Aproksimasi & Sistem Nonlinier
IKI20700,Basis Data
IKO31754,Basis Data Lanjut
IKO31350,Bioinformatika
IKS31603,Manajemen Hubungan Pelanggan
IKS21501,Dasar-Dasar Arsitektur Komputer
IKS41851,Dasar-Dasar Audit SI
IKO32402,Desain & Analisis Algoritma
IKS31650,Perdagangan Elektronis
IKS42755,Integrasi Aplikasi Perusahaan
IKS22602,Enterprise Resource Planning
IKO42451,Geometri Komputasional
IKO32450,Grafika Komputer
IKS32756,Infrastruktur TI Modern
IKO31503,Jaringan Komputer
IKS31504,Jaringan Komunikasi Data
IKO41361,Jejaring Semantik
IKS42651,Kecerdasan Bisnis
IKO41352,Komputasi Lunak
IKO41557,Komputasi Ubiquitous & Net-Sentris 
IKS32656,Konfigurasi ERP
IKO32453,Kriptografi & Keamanan Informasi
IKO32751,Layanan & Aplikasi Web
IKO41454,Logika Komputasional
IKS41757,Manajemen Keamanan Informasi
IKS32758,Manajemen Layanan TI
IKS31259,Manajemen Proyek TI
IKS41852,Manajemen Sistem Informasi
IKS31604,Manajemen Sumber Daya Manusia
IKO42252,Metode Formal
IKO31550,Organisasi Sistem Komputer
IKO32353,Pemelajaran Mesin
IKO41452,Pemodelan Geometris
IKO22203,Pemrograman Deklaratif
IKO31258,Pemrograman Konkuren & Paralel
IKO41253,Pemrograman Logika
IKO31204,Pemrograman Sistem
IKO42351,Penambangan Data
IKO41853,Pengajaran Berbantuan Komputer
IKO21502,Pengantar Organisasi Komputer
IKS41652,Pengembangan dan Pemasaran Produk
IKS42260,Pengembangan Perangkat Lunak Open Source
IKO41251,Game Development
IKO32354,Pengolahan Bahasa Manusia
IKO31355,Pengolahan Citra
IKO41356,Pengolahan Multimedia
IKO41552,Pengolahan Sinyal Dijital
IKO41254,Penjaminan Mutu Perangkat Lunak
IKI20201,Perancangan & Pemrograman Web
IKO41357,Perolehan Informasi
IKO32152,Persamaan Diferensial
IKS32206,Proyek Pengembangan Sistem Informasi
IKO32205,Proyek Perangkat Lunak
IKO42553,Rancangan Sistem Dijital
IKI30202,Rekayasa Perangkat Lunak
IKS22403,Riset Operasi
IKO42360,Robotika
IKO41151,Simulasi & Pemodelan
IKO31300,Sistem Cerdas
IKS32606,Sistem Informasi Akuntansi dan Keuangan
IKO41854,Sistem Informasi Geografis
IKS32855,Sistem Informasi Kesehatan
IKO31250,Sistem Interaksi
IKI20505,Sistem Operasi
IKO41554,Sistem Terdistribusi
IKO31551,Sistem Tertanam
IKI10400,Struktur Data & Algoritma
IKS31605,Manajemen Rantai Suplai
IKO32257,Teknik Kompilator
IKS41759,Teknologi Mobile
IKO22401,Teori Bahasa & Automata
IKO32150,Teori Informasi
IKI20505,Sistem Operasi
IKO32104,Analisis Numerik
IKI10103,Aljabar Linier
IKO32104,Analisis Numerik
IKI10400,Struktur Data & Algoritma
IKI20700,Basis Data
IKI10400,Struktur Data & Algoritma
IKS22602,Enterprise Resource Planning
IKI10200,Dasar-Dasar Pemrograman
IKS31504,Jaringan Komunikasi Data
IKI10400,Struktur Data & Algoritma
IKS12800,Prinsip-Prinsip Sistem Informasi
IKS31504,Jaringan Komunikasi Data
IKS12600,Administrasi Bisnis
IKI10400,Struktur Data & Algoritma
IKI10103,Aljabar Linier
IKS31504,Jaringan Komunikasi Data
IKI20505,Sistem Operasi
IKI20505,Sistem Operasi
IKO31300,Sistem Cerdas
IKI20700,Basis Data
IKO31300,Sistem Cerdas
IKO31503,Jaringan Komputer
IKS22602,Enterprise Resource Planning
IKO31503,Jaringan Komputer
IKO31503,Jaringan Komputer
IKO31300,Sistem Cerdas
IKS31504,Jaringan Komunikasi Data
IKS31504,Jaringan Komunikasi Data
IKS21601,Prinsip-Prinsip Manajemen
IKS12800,Prinsip-Prinsip Sistem Informasi
IKS22602,Enterprise Resource Planning
IKI10400,Struktur Data & Algoritma
IKO21502,Pengantar Organisasi Komputer
IKO31300,Sistem Cerdas
IKO32450,Grafika Komputer
IKI10400,Struktur Data & Algoritma
IKI20505,Sistem Operasi
IKI10100,Matematika Diskret 1
IKI10400,Struktur Data & Algoritma
IKI20700,Basis Data
IKI20201,Perancangan & Pemrograman Web
IKO12500,Pengantar Sistem Dijital
IKS12600,Administrasi Bisnis
IKS31504,Jaringan Komunikasi Data
IKI10400,Struktur Data & Algoritma
IKO22401,Teori Bahasa & Automata
IKI10103,Aljabar Linier
IKI10400,Struktur Data & Algoritma
IKI20102,Statistika & Probabilitas
IKI30202,Rekayasa Perangkat Lunak
IKI10200,Dasar-Dasar Pemrograman
IKI10400,Struktur Data & Algoritma
IKI10103,Aljabar Linier
IKI30202,Rekayasa Perangkat Lunak
IKI30202,Rekayasa Perangkat Lunak
IKO21502,Pengantar Organisasi Komputer
IKI10200,Dasar-Dasar Pemrograman
IKI10103,Aljabar Linier
IKO21502,Pengantar Organisasi Komputer
IKI20102,Statistika & Probabilitas
IKI20102,Statistika & Probabilitas
IKS22602,Enterprise Resource Planning
IKI20700,Basis Data
IKS12800,Prinsip-Prinsip Sistem Informasi
IKI20201,Perancangan & Pemrograman Web
IKS21501,Dasar-Dasar Arsitektur Komputer
IKO31503,Jaringan Komputer
IKO21502,Pengantar Organisasi Komputer
IKI10200,Dasar-Dasar Pemrograman
IKS22602,Enterprise Resource Planning
IKI10400,Struktur Data & Algoritma
IKS31504,Jaringan Komunikasi Data
IKI10100,Matematika Diskret 1
IKI20102,Statistika & Probabilitas
IKO21105,Matematika Dasar 2
IKI20102,Statistika & Probabilitas
IKS12800,Prinsip-Prinsip Sistem Informasi
IKI20700,Basis Data
IKI20700,Basis Data
IKI10400,Struktur Data & Algoritma
IKI20700,Basis Data
IKI20201,Perancangan & Pemrograman Web
IKI10200,Dasar-Dasar Pemrograman
IKI20101,Matematika Diskret 2
IKI10100,Matematika Diskret 1
IKI20102,Statistika & Probabilitas
IKI20201,Perancangan & Pemrograman Web
IKS12800,Prinsip-Prinsip Sistem Informasi
IKI20700,Basis Data
IKS31504,Jaringan Komunikasi Data
IKI20101,Matematika Diskret 2
IKI10100,Matematika Diskret 1
IKO21105,Matematika Dasar 2
IKI10103,Aljabar Linier
IKI10200,Dasar-Dasar Pemrograman
IKI20505,Sistem Operasi
IKO31300,Sistem Cerdas
IKI10200,Dasar-Dasar Pemrograman
IKO31300,Sistem Cerdas
IKI10400,Struktur Data & Algoritma
IKO21105,Matematika Dasar 2
IKO21502,Pengantar Organisasi Komputer
IKO21105,Matematika Dasar 2
IKI20700,Basis Data
IKO31300,Sistem Cerdas
IKO31503,Jaringan Komputer
IKI10100,Matematika Diskret 1
IKI10400,Struktur Data & Algoritma
IKI30202,Rekayasa Perangkat Lunak
IKI20700,Basis Data
IKO21502,Pengantar Organisasi Komputer
IKO22401,Teori Bahasa & Automata
IKO31503,Jaringan Komputer
IKI20101,Matematika Diskret 2
IKO21105,Matematika Dasar 2
